slice,strategy,family,scenario,cost_bps,execution_delay_days,train_start,train_end,test_start,test_end,CAGR,MaxDD,Calmar,Sharpe_DailyExcess,Final_Equity,Benchmark_TQQQ_CAGR,Benchmark_TQQQ_MaxDD,total_turnover,annualized_turnover,trade_days,avg_turnover_on_trade_days,total_cost_rate,final_cost_drag,MaxEffectiveLeverage,AvgEffectiveLeverage,PeriodicRebalance
2022_2023,TQQQ buy-and-hold,raw_tqqq,stress_10bps_delay1d,10.0,1,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.22287511426595907,-0.8101575321557064,-0.275100959282477,0.03926495455240139,0.6051329510340805,-0.22287511426595974,-0.8101575321557068,1.0,0.5029940119760479,1,1.0,0.001,0.0006057386897242445,3.0,3.0,False
2022_2023,TQQQ buy-and-hold,raw_tqqq,stress_25bps_delay1d,25.0,1,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.22287511426595907,-0.8101575321557064,-0.275100959282477,0.03926495455240183,0.6042243429994949,-0.22287511426595974,-0.8101575321557068,1.0,0.5029940119760479,1,1.0,0.0025,0.001514346724309834,3.0,3.0,False
2022_2023,70/30 TQQQ/QQQ,static_blend,base_0bps,0.0,0,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.1333400684725503,-0.7129564611838932,-0.18702413924566122,0.04927201724716348,0.7523801561424204,-0.22287511426595974,-0.8101575321557068,1.0,0.5029940119760479,1,1.0,0.0,0.0,2.3999999999999995,2.3999999999999995,False
2022_2023,70/30 TQQQ/QQQ,static_blend,cost_5bps_delay0d,5.0,0,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.13334006847255042,-0.7129564611838931,-0.1870241392456614,0.049272017247163645,0.7520039660643489,-0.22287511426595974,-0.8101575321557068,1.0,0.5029940119760479,1,1.0,0.0005,0.0003761900780714367,2.3999999999999995,2.3999999999999995,False
2022_2023,70/30 TQQQ/QQQ,static_blend,cost_10bps_delay0d,10.0,0,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.13334006847254953,-0.7129564611838928,-0.18702413924566025,0.049272017247164096,0.7516277759862793,-0.22287511426595974,-0.8101575321557068,1.0,0.5029940119760479,1,1.0,0.001,0.000752380156141097,2.3999999999999995,2.3999999999999995,False
2022_2023,70/30 TQQQ/QQQ,static_blend,cost_25bps_delay0d,25.0,0,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.1333400684725503,-0.7129564611838931,-0.18702413924566125,0.04927201724716437,0.7504992057520643,-0.22287511426595974,-0.8101575321557068,1.0,0.5029940119760479,1,1.0,0.0025,0.0018809503903560731,2.3999999999999995,2.3999999999999995,False
2022_2023,70/30 TQQQ/QQQ,static_blend,cost_50bps_delay0d,50.0,0,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.13334006847254953,-0.712956461183893,-0.1870241392456602,0.04927201724716482,0.7486182553617095,-0.22287511426595974,-0.8101575321557068,1.0,0.5029940119760479,1,1.0,0.005,0.003761900780710925,2.3999999999999995,2.3999999999999995,False
2022_2023,70/30 TQQQ/QQQ,static_blend,stress_10bps_delay1d,10.0,1,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.13334006847254953,-0.7129564611838928,-0.18702413924566025,0.049272017247164096,0.7516277759862793,-0.22287511426595974,-0.8101575321557068,1.0,0.5029940119760479,1,1.0,0.001,0.000752380156141097,2.3999999999999995,2.3999999999999995,False
2022_2023,70/30 TQQQ/QQQ,static_blend,stress_25bps_delay1d,25.0,1,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.1333400684725503,-0.7129564611838931,-0.18702413924566125,0.04927201724716437,0.7504992057520643,-0.22287511426595974,-0.8101575321557068,1.0,0.5029940119760479,1,1.0,0.0025,0.0018809503903560731,2.3999999999999995,2.3999999999999995,False
2022_2023,50/50 TQQQ/QQQ,static_blend,base_0bps,0.0,0,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.08054116035437198,-0.6296049287818406,-0.1279233320333165,0.059257203773068416,0.8462500829690944,-0.22287511426595974,-0.8101575321557068,1.0,0.5029940119760479,1,1.0,0.0,0.0,2.0,2.0,False
2022_2023,50/50 TQQQ/QQQ,static_blend,cost_5bps_delay0d,5.0,0,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.08054116035437253,-0.6296049287818409,-0.1279233320333173,0.059257203773068416,0.8458269579276089,-0.22287511426595974,-0.8101575321557068,1.0,0.5029940119760479,1,1.0,0.0005,0.0004231250414855614,2.0,2.0,False
2022_2023,50/50 TQQQ/QQQ,static_blend,cost_10bps_delay0d,10.0,0,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.08054116035437153,-0.6296049287818405,-0.1279233320333158,0.0592572037730697,0.8454038328861261,-0.22287511426595974,-0.8101575321557068,1.0,0.5029940119760479,1,1.0,0.001,0.0008462500829683473,2.0,2.0,False
2022_2023,50/50 TQQQ/QQQ,static_blend,cost_25bps_delay0d,25.0,0,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.08054116035437131,-0.6296049287818406,-0.12792333203331543,0.059257203773069915,0.844134457761673,-0.22287511426595974,-0.8101575321557068,1.0,0.5029940119760479,1,1.0,0.0025,0.0021156252074214787,2.0,2.0,False
2022_2023,50/50 TQQQ/QQQ,static_blend,cost_50bps_delay0d,50.0,0,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.0805411603543722,-0.6296049287818408,-0.1279233320333168,0.059257203773069596,0.8420188325542485,-0.22287511426595974,-0.8101575321557068,1.0,0.5029940119760479,1,1.0,0.005,0.004231250414845955,2.0,2.0,False
2022_2023,50/50 TQQQ/QQQ,static_blend,stress_10bps_delay1d,10.0,1,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.08054116035437153,-0.6296049287818405,-0.1279233320333158,0.0592572037730697,0.8454038328861261,-0.22287511426595974,-0.8101575321557068,1.0,0.5029940119760479,1,1.0,0.001,0.0008462500829683473,2.0,2.0,False
2022_2023,50/50 TQQQ/QQQ,static_blend,stress_25bps_delay1d,25.0,1,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.08054116035437131,-0.6296049287818406,-0.12792333203331543,0.059257203773069915,0.844134457761673,-0.22287511426595974,-0.8101575321557068,1.0,0.5029940119760479,1,1.0,0.0025,0.0021156252074214787,2.0,2.0,False
2022_2023,MA150 risk-off QQQ,ma_regime,base_0bps,0.0,0,2015-01-01,2021-12-31,2022-01-01,2023-12-29,0.12019236590569826,-0.5092473294104785,0.2360196292925815,0.4325144675986188,1.253136559636441,-0.22287511426595974,-0.8101575321557068,25.0,12.574850299401197,13,1.9230769230769231,0.0,0.0,3.0,2.0059880239520957,False
